Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
07/12/2024,Betis,Barcelona,2,2,D,12,9,6,3
07/12/2024,Valencia,Vallecano,0,1,A,14,6,6,1
07/12/2024,Girona,Real Madrid,0,3,A,10,10,4,7
08/12/2024,Leganes,Sociedad,0,3,A,11,15,2,5
08/12/2024,Ath Bilbao,Villarreal,2,0,H,12,11,4,1
08/12/2024,Osasuna,Alaves,2,2,D,16,6,8,3
08/12/2024,Ath Madrid,Sevilla,4,3,H,14,4,9,3
09/12/2024,Getafe,Espanol,1,0,H,15,9,6,1
13/12/2024,Valladolid,Valencia,1,0,H,2,14,1,2
14/12/2024,Espanol,Osasuna,0,0,D,9,6,3,0
14/12/2024,Mallorca,Girona,2,1,H,8,13,2,1
14/12/2024,Sevilla,Celta,1,0,H,8,10,3,2
14/12/2024,Vallecano,Real Madrid,3,3,D,14,13,5,6
15/12/2024,Ath Madrid,Getafe,1,0,H,11,7,3,1
15/12/2024,Alaves,Ath Bilbao,1,1,D,6,9,3,2
15/12/2024,Sociedad,Las Palmas,0,0,D,15,9,4,3
15/12/2024,Villarreal,Betis,1,2,A,17,10,4,4
15/12/2024,Barcelona,Leganes,0,1,A,20,6,4,4
18/12/2024,Espanol,Valencia,1,1,D,10,14,3,4
18/12/2024,Villarreal,Vallecano,1,1,D,14,18,5,3
20/12/2024,Girona,Valladolid,3,0,H,23,1,7,1
21/12/2024,Getafe,Mallorca,0,1,A,18,9,5,2
21/12/2024,Celta,Sociedad,2,0,H,11,7,7,1
21/12/2024,Osasuna,Ath Bilbao,1,2,A,6,13,3,8
21/12/2024,Barcelona,Ath Madrid,1,2,A,19,5,7,4
22/12/2024,Valencia,Alaves,2,2,D,8,11,3,3
22/12/2024,Real Madrid,Sevilla,4,2,H,16,10,8,5
22/12/2024,Las Palmas,Espanol,1,0,H,10,9,4,2
22/12/2024,Leganes,Villarreal,2,5,A,5,18,3,9
22/12/2024,Betis,Vallecano,1,1,D,14,10,5,4
03/01/2025,Valencia,Real Madrid,1,2,A,8,17,5,5
10/01/2025,Vallecano,Celta,2,1,H,8,23,5,7
11/01/2025,Alaves,Girona,0,1,A,11,3,2,1
11/01/2025,Valladolid,Betis,1,0,H,12,14,1,3
11/01/2025,Espanol,Leganes,1,1,D,15,14,5,6
11/01/2025,Sevilla,Valencia,1,1,D,15,5,5,1
12/01/2025,Las Palmas,Getafe,1,2,A,15,12,7,3
12/01/2025,Ath Madrid,Osasuna,1,0,H,9,6,5,1
13/01/2025,Sociedad,Villarreal,1,0,H,6,15,3,5
17/01/2025,Espanol,Valladolid,2,1,H,12,11,4,4
18/01/2025,Girona,Sevilla,1,2,A,7,14,4,6
18/01/2025,Leganes,Ath Madrid,1,0,H,9,19,3,4
18/01/2025,Betis,Alaves,1,3,A,7,9,2,5
18/01/2025,Getafe,Barcelona,1,1,D,10,21,4,5
19/01/2025,Celta,Ath Bilbao,1,2,A,3,14,1,6
19/01/2025,Real Madrid,Las Palmas,4,1,H,26,6,13,2
19/01/2025,Osasuna,Vallecano,1,1,D,12,8,3,3
19/01/2025,Valencia,Sociedad,1,0,H,7,9,2,3
20/01/2025,Villarreal,Mallorca,4,0,H,14,9,7,2
24/01/2025,Las Palmas,Osasuna,1,1,D,16,16,7,4
25/01/2025,Mallorca,Betis,0,1,A,16,8,3,3
25/01/2025,Ath Madrid,Villarreal,1,1,D,20,11,8,1
25/01/2025,Sevilla,Espanol,1,1,D,25,6,4,1
25/01/2025,Valladolid,Real Madrid,0,3,A,6,20,2,4
26/01/2025,Vallecano,Girona,2,1,H,17,12,7,5
26/01/2025,Sociedad,Getafe,0,3,A,13,13,4,4
26/01/2025,Ath Bilbao,Leganes,0,0,D,29,5,3,2
26/01/2025,Barcelona,Valencia,7,1,H,22,7,11,2
27/01/2025,Alaves,Celta,1,1,D,3,5,1,2
31/01/2025,Leganes,Vallecano,0,1,A,5,19,1,3
01/02/2025,Getafe,Sevilla,0,0,D,7,13,1,1
01/02/2025,Villarreal,Valladolid,5,1,H,22,8,8,2
01/02/2025,Ath Madrid,Mallorca,2,0,H,17,10,5,1
01/02/2025,Espanol,Real Madrid,1,0,H,5,21,2,7
02/02/2025,Barcelona,Alaves,1,0,H,11,3,4,0
02/02/2025,Valencia,Celta,2,1,H,8,3,5,2
02/02/2025,Osasuna,Sociedad,2,1,H,11,13,4,3
02/02/2025,Betis,Ath Bilbao,2,2,D,10,12,6,4
03/02/2025,Girona,Las Palmas,2,1,H,12,10,4,2
07/02/2025,Vallecano,Valladolid,1,0,H,20,8,6,3
08/02/2025,Celta,Betis,3,2,H,14,12,6,5
08/02/2025,Ath Bilbao,Girona,3,0,H,23,3,8,1
08/02/2025,Las Palmas,Villarreal,1,2,A,20,9,4,4
08/02/2025,Real Madrid,Ath Madrid,1,1,D,23,10,9,1
09/02/2025,Alaves,Getafe,0,1,A,12,4,4,3
09/02/2025,Valencia,Leganes,2,0,H,18,12,4,4
09/02/2025,Sociedad,Espanol,2,1,H,13,4,3,1
09/02/2025,Sevilla,Barcelona,1,4,A,8,10,4,6
10/02/2025,Mallorca,Osasuna,1,1,D,10,19,2,4
14/02/2025,Girona,Getafe,1,2,A,14,10,4,6
15/02/2025,Leganes,Alaves,3,3,D,8,16,3,7
15/02/2025,Osasuna,Real Madrid,1,1,D,11,17,4,6
15/02/2025,Ath Madrid,Celta,1,1,D,9,11,3,4
15/02/2025,Villarreal,Valencia,1,1,D,13,12,4,3
16/02/2025,Espanol,Ath Bilbao,1,1,D,12,14,4,4
16/02/2025,Valladolid,Sevilla,0,4,A,7,11,2,6
16/02/2025,Mallorca,Las Palmas,3,1,H,14,9,5,4
16/02/2025,Betis,Sociedad,3,0,H,24,5,8,1
17/02/2025,Barcelona,Vallecano,1,0,H,14,9,5,4
21/02/2025,Celta,Osasuna,1,0,H,12,18,5,1
22/02/2025,Alaves,Espanol,0,1,A,15,9,5,2
22/02/2025,Vallecano,Villarreal,0,1,A,10,10,5,5
22/02/2025,Valencia,Ath Madrid,0,3,A,18,11,2,3
22/02/2025,Las Palmas,Barcelona,0,2,A,10,15,2,5
23/02/2025,Ath Bilbao,Valladolid,7,1,H,29,5,16,3
23/02/2025,Real Madrid,Girona,2,0,H,22,6,5,2
23/02/2025,Getafe,Betis,1,2,A,10,13,4,6
23/02/2025,Sociedad,Leganes,3,0,H,12,8,5,2
24/02/2025,Sevilla,Mallorca,1,1,D,19,13,4,2
28/02/2025,Valladolid,Las Palmas,1,1,D,23,4,7,3
01/03/2025,Girona,Celta,2,2,D,9,10,6,6
01/03/2025,Vallecano,Sevilla,1,1,D,20,10,8,5
01/03/2025,Betis,Real Madrid,2,1,H,18,9,3,2
01/03/2025,Ath Madrid,Ath Bilbao,1,0,H,12,15,4,3
02/03/2025,Leganes,Getafe,1,0,H,5,9,1,0
02/03/2025,Barcelona,Sociedad,4,0,H,33,0,10,0
02/03/2025,Mallorca,Alaves,1,1,D,15,19,4,7
02/03/2025,Osasuna,Valencia,3,3,D,12,12,5,5
08/03/2025,Celta,Leganes,2,1,H,7,12,4,6
08/03/2025,Alaves,Villarreal,1,0,H,5,24,3,2
08/03/2025,Valencia,Valladolid,2,1,H,17,11,4,4
09/03/2025,Getafe,Ath Madrid,2,1,H,11,4,3,2
09/03/2025,Real Madrid,Vallecano,2,1,H,10,20,5,6
09/03/2025,Ath Bilbao,Mallorca,1,1,D,8,9,2,2
09/03/2025,Betis,Las Palmas,1,0,H,14,8,6,1
09/03/2025,Sociedad,Sevilla,0,1,A,7,9,2,4
10/03/2025,Espanol,Girona,1,1,D,7,18,4,4
14/03/2025,Las Palmas,Alaves,2,2,D,14,9,7,3
15/03/2025,Valladolid,Celta,0,1,A,5,10,2,1
15/03/2025,Mallorca,Espanol,2,1,H,20,2,7,0
15/03/2025,Villarreal,Real Madrid,1,2,A,23,9,10,5
15/03/2025,Girona,Valencia,1,1,D,14,12,4,2
16/03/2025,Leganes,Betis,2,3,A,10,21,4,6
16/03/2025,Sevilla,Ath Bilbao,0,1,A,11,9,4,4
16/03/2025,Osasuna,Getafe,1,2,A,12,7,4,4
16/03/2025,Vallecano,Sociedad,2,2,D,10,8,5,4
16/03/2025,Ath Madrid,Barcelona,2,4,A,7,13,2,6
27/03/2025,Barcelona,Osasuna,3,0,H,19,4,5,0
29/03/2025,Sociedad,Valladolid,2,1,H,12,12,2,5
29/03/2025,Espanol,Ath Madrid,1,1,D,8,13,1,2
